iter	RMSE
0	1.192398034
1	0.9892610051
2	0.8815650474
3	0.8355693467
4	0.8020565998
5	0.7835358618
6	0.7334862171
7	0.7100206231
8	0.6994974721
9	0.6896542699
10	0.6797793045
11	0.6658414296
12	0.6589821293
13	0.652150336
14	0.6458540666
15	0.6365197737
16	0.6280717464
17	0.620993154
18	0.6144211504
19	0.6004810182
20	0.5979443728
21	0.5950027772
22	0.5920743048
23	0.5865236286
24	0.5822575026
25	0.5790538373
26	0.5769068975
27	0.5727980853
28	0.5702732409
29	0.5661991274
30	0.5620939993
31	0.5596973404
32	0.5569851023
33	0.5540925262
34	0.5509840098
35	0.5481155303
36	0.5460303623
37	0.5431896227
38	0.5405056374
39	0.535862257
40	0.5326461343
41	0.5298928902
42	0.5275799573
43	0.5252334398
44	0.5236264343
45	0.5222787957
46	0.5207976661
47	0.5189407649
48	0.5168056919
49	0.5152428717
50	0.5137109026
51	0.5116970017
52	0.5102949706
53	0.5091327748
54	0.5075061253
55	0.5053498783
56	0.5041093863
57	0.5031617233
58	0.5014289763
59	0.5001819666
60	0.4989751993
61	0.4977127224
62	0.4945920214
63	0.4931294771
64	0.491925668
65	0.4909759944
66	0.4899095322
67	0.4879096005
68	0.4870974259
69	0.4852875642
70	0.484471575
71	0.4834888588
72	0.4820832301
73	0.4811372443
74	0.480036943
75	0.4783107728
76	0.4757160097
77	0.4745851594
78	0.4732514748
79	0.4724251418
80	0.4708438493
81	0.4698391145
82	0.4689982946
83	0.4682397857
84	0.4674816595
85	0.4662252194
86	0.4649497585
87	0.4641062955
88	0.4634736884
89	0.4627295444
90	0.4610809351
91	0.4604282244
92	0.4592735404
93	0.4579109487
94	0.4573600359
95	0.4563144325
96	0.4557205453
97	0.4552116936
98	0.4546635126
99	0.4541102646
