iter	Passed	Remaining
0	67	6693
1	77	3786
2	87	2826
3	97	2331
4	106	2028
5	116	1825
6	125	1668
7	135	1554
8	143	1450
9	151	1362
10	159	1292
11	168	1232
12	176	1180
13	184	1133
14	192	1091
15	201	1060
16	210	1029
17	220	1003
18	229	976
19	237	950
20	245	924
21	253	898
22	260	873
23	269	853
24	278	836
25	286	815
26	293	794
27	302	777
28	310	759
29	319	745
30	327	729
31	336	714
32	344	699
33	353	685
34	361	670
35	370	659
36	379	646
37	387	632
38	395	617
39	403	605
40	412	593
41	421	581
42	429	569
43	438	558
44	446	545
45	455	534
46	463	522
47	471	510
48	480	499
49	488	488
50	497	477
51	506	467
52	514	456
53	521	444
54	530	434
55	539	423
56	547	413
57	555	402
58	565	392
59	572	381
60	581	371
61	589	361
62	597	350
63	606	340
64	614	331
65	622	320
66	631	310
67	640	301
68	649	291
69	658	282
70	667	272
71	674	262
72	682	252
73	691	243
74	700	233
75	709	224
76	717	214
77	726	204
78	735	195
79	743	185
80	752	176
81	761	167
82	769	157
83	777	148
84	786	138
85	794	129
86	803	119
87	811	110
88	819	101
89	827	91
90	836	82
91	844	73
92	852	64
93	862	55
94	871	45
95	879	36
96	888	27
97	898	18
98	906	9
99	916	0
